,publisher,scores,total,avg_score
0,Goldhawk Interactive,[7.8],1,7.8
1,Grand Prix Games,[6.0],1,6.0
2,Microforum,"[6.0, 3.0, 7.5]",3,5.5
3,Limbic Software,[9.0],1,9.0
4,Winking Skywalker,[8.2],1,8.2
5,QubicGames,"[8.0, 6.0, 4.0]",3,6.0
6,Z-Man Games,"[8.0, 9.0]",2,8.5
7,Zoink!,"[8.0, 8.6]",2,8.3
8,The Game Bakers,"[6.8, 8.0]",2,7.4
9,React Games,"[7.9, 7.5]",2,7.7
10,Solecismic Software,[8.0],1,8.0
11,10TACLE Studios,"[6.9, 9.2, 8.5, 7.5, 6.0, 5.0, 7.8]",7,7.271428571428571
12,NewKidCo,"[3.5, 5.0, 6.5, 7.9, 6.5, 6.8, 8.0, 6.3, 5.5, 7.0]",10,6.3
13,NIS America,[6.0],1,6.0
14,Experimental Gameplay Group,[5.0],1,5.0
15,Marvel Interactive,"[8.0, 5.5, 5.0, 5.0, 5.0, 5.5, 5.0, 8.5, 7.9, 6.8, 8.6, 7.2]",12,6.5
16,ZOO  Digital,"[8.1, 8.1, 8.5, 3.5, 7.5, 6.5, 1.2, 4.5, 7.5, 8.9, 2.5, 2.5, 2.0, 4.5, 4.0, 6.0, 5.0, 5.0, 2.5, 3.0, 6.0, 5.0, 8.0, 6.5, 7.5, 4.5, 4.5, 8.5, 8.5, 1.5, 3.0, 4.0, 5.0, 3.5, 7.8, 3.5, 4.0, 7.0, 4.5, 6.5, 7.0, 1.5]",42,5.216666666666667
17,Gamecock,"[8.0, 6.5, 3.5, 3.5, 7.5, 7.0, 2.5, 2.5, 2.3, 5.1, 7.9, 4.5, 4.6, 4.8]",14,5.014285714285713
18,Slick Entertainment,[7.5],1,7.5
19,Pipeworks Software,"[7.0, 7.0]",2,7.0
20,Activision Value,"[6.0, 6.0, 6.0, 7.3, 5.0, 7.3, 7.3, 4.8, 6.0, 6.7, 6.7, 6.8, 6.4, 6.3, 4.5, 6.0, 5.1, 5.3, 5.6, 6.9, 9.6, 7.1, 6.0, 7.1, 5.0, 4.0, 2.0, 7.0, 3.5, 6.0, 3.5, 4.5, 5.0, 3.6, 7.9, 3.0, 3.3, 4.9, 4.9, 2.2, 2.9, 2.0, 2.2, 3.0, 3.5, 2.5, 2.5, 6.0, 6.1, 6.1, 6.1, 7.5, 4.5, 4.4, 7.4, 7.0, 3.0, 2.5, 4.5, 4.5, 3.0, 4.9, 6.9, 5.0]",64,5.1578125
21,"Young Horses, Inc.","[8.0, 7.8, 7.8]",3,7.866666666666667
22,Frontier Developments,"[7.5, 7.4, 7.0, 4.8, 8.2, 8.9, 9.1, 8.5, 8.5, 8.5]",10,7.840000000000001
23,HeadGames Publishing,"[6.0, 4.0, 1.5, 1.5, 3.5, 0.7, 2.6, 4.5, 2.0, 2.3, 1.0, 3.8, 4.2, 4.2]",14,2.985714285714286
24,Ludia,"[7.5, 5.0, 5.0, 7.5, 8.0, 4.0]",6,6.166666666666667
25,Global Star,"[7.8, 3.0, 2.5, 4.0, 3.0, 4.5, 3.8, 6.5, 5.5, 5.0, 4.0, 4.5, 4.5, 2.1, 8.0, 4.0, 4.0, 4.0, 6.7, 6.7, 6.7, 6.2, 5.5, 3.1, 4.5, 7.0, 8.8, 8.1, 8.0, 9.2, 9.2, 2.7, 4.9, 4.9, 5.0, 4.5, 4.5, 6.0, 7.0, 6.0, 4.0, 6.8, 6.4, 8.6, 6.8, 3.8, 3.8, 4.0, 5.0, 1.5, 7.1, 7.4, 7.0, 7.0, 7.4, 7.4, 8.0, 8.0, 7.0, 9.0, 5.0, 6.2, 7.0, 6.2, 4.2, 4.5, 7.7, 8.5]",68,5.752941176470587
26,The Coding Monkeys,"[8.0, 5.5]",2,6.75
27,Hexacto,"[7.0, 4.5, 4.5]",3,5.333333333333333
