id,url,reviewers,date,game,score
0,/articles/2003/12/05/007-everything-or-nothing,['Craig Harris'],2003-12-05T00:54:00.000Z,007: Everything or Nothing,8
1,/articles/2012/10/16/007-legends-review,['Tristan Ogilvie'],2012-10-16T17:00:39.000Z,007 Legends Review,4.5
2,/articles/2013/01/14/007-legends-wii-u-review,['Tristan Ogilvie'],2013-01-14T23:58:24.000Z,007 Legends Wii U Review,4.2
3,/articles/2000/11/22/007-racing,['Doug Perry'],2000-11-22T01:00:00.000Z,007 Racing,5
4,/articles/2010/01/14/007-top-agent-review,['Levi Buchanan'],2010-01-14T22:24:00.000Z,007: Top Agent Review,4
5,/articles/2010/01/05/0-day-attack-on-earth-review,['Levi Buchanan'],2010-01-05T23:13:00.000Z,0 Day Attack on Earth Review,4
6,/articles/2009/11/10/0d-beat-drop-review,['Daemon Hatfield'],2009-11-10T23:30:00.000Z,0D Beat Drop Review,8.5
7,/articles/2012/08/09/10000000-review,['Justin Davis'],2012-08-09T20:58:28.000Z,10000000 Review,7.5
8,/articles/2001/04/12/100000-pyramid,[],2001-04-12T23:30:00.000Z,"$100,000 Pyramid",8
9,/articles/2010/02/12/1000-find-em-all-review,['Levi Buchanan'],2010-02-12T19:13:00.000Z,1000: Find 'Em All Review,7
10,/articles/2005/08/23/1000-words,['Levi Buchanan'],2005-08-23T00:47:00.000Z,1000 Words,8
11,/articles/2011/10/14/1001-blockbusters-review,['Lucas M. Thomas'],2011-10-14T06:57:00.000Z,1001 BlockBusters Review,7
12,/articles/2010/05/06/1001-crystal-mazes-collection-review,['Lucas M. Thomas'],2010-05-06T19:03:00.000Z,1001 Crystal Mazes Collection Review,7
13,/articles/2014/06/08/1001-spikes-review,[],2014-06-08T23:37:02.000Z,1001 Spikes Review,8
14,/articles/2016/10/20/100ft-robot-golf-review,['Ryan McCaffrey'],2016-10-20T21:13:01.000Z,100ft Robot Golf Review,5
15,/articles/2011/10/14/101-in-1-explosive-megamix-review,['Lucas M. Thomas'],2011-10-14T06:56:00.000Z,101-in-1 Explosive Megamix Review,2.5
16,/articles/2010/03/17/101-minigolf-world-review,['Lucas M. Thomas'],2010-03-17T19:00:00.000Z,101 MiniGolf World Review,7
17,/articles/2010/07/10/101-shark-pets-review,['Lucas M. Thomas'],2010-07-10T00:15:00.000Z,101 Shark Pets Review,7
18,/articles/2000/12/06/102-dalmatians-puppies-to-the-rescue-2,['David Zdyrko'],2000-12-06T01:00:00.000Z,102 Dalmatians: Puppies to the Rescue,7
19,/articles/2000/12/14/102-dalmatians-puppies-to-the-rescue,['Nix'],2000-12-14T00:30:00.000Z,102 Dalmatians: Puppies to the Rescue,6
20,/articles/2000/12/12/102-dalmations-puppies-to-the-rescue,[],2000-12-12T00:30:00.000Z,102 Dalmations: Puppies to the Rescue,7
21,/articles/2003/12/02/1080-avalanche-2,['Matt Casamassina'],2003-12-02T01:19:00.000Z,1080: Avalanche,7.3
22,/articles/1998/04/03/1080a-snowboarding-review,['Matt Casamassina'],1998-04-03T01:00:00.000Z,1080° Snowboarding Review,8.6
23,/articles/2008/01/29/1080-snowboarding-review,['Lucas M. Thomas'],2008-01-29T23:55:00.000Z,1080 Snowboarding Review,8.5
24,/articles/1999/10/04/10-pin-bowling,['Craig Harris'],1999-10-04T23:30:00.000Z,10-Pin Bowling,4
25,/articles/2000/07/01/10six,[],2000-07-01T00:00:00.000Z,10Six,6.2
26,/articles/2008/12/13/1112-episode-01-iphone-review,['George Roush'],2008-12-13T00:01:00.000Z,1112 Episode 01 iPhone Review,3.5
27,/articles/2017/03/02/1-2-switch-review,['Alanah Pearce'],2017-03-02T11:00:17.000Z,1-2-Switch Review,6.8
28,/articles/13-sentinels-aegis-rim-review,['Matt Kim'],2020-09-15T15:00:43.000Z,13 Sentinels: Aegis Rim Review,8
29,/articles/2013/10/16/140-review,['Mitch Dyer'],2013-10-16T15:00:31.000Z,140 Review,8
30,/articles/2003/04/09/1503-ad-review,['Jeff Haynes'],2003-04-09T07:00:00.000Z,1503 A.D. Review,7.3
31,/articles/2000/02/10/1602-ad-2,[],2000-02-10T01:00:00.000Z,1602 AD,7.9
32,/articles/2010/06/22/16-shot-shooting-watch-review,['Lucas M. Thomas'],2010-06-22T21:10:00.000Z,16 Shot! Shooting Watch Review,5
33,/articles/2008/08/14/1701-ad-gold-edition-review,['Steve Butts'],2008-08-14T19:32:00.000Z,1701 A.D. Gold Edition Review,8.3
34,/articles/2006/10/31/1701-ad-review,['Dan Adams'],2006-10-31T01:50:00.000Z,1701 A.D. Review,8.2
35,/articles/2005/08/26/187-ride-or-die,[],2005-08-26T21:57:00.000Z,187 Ride or Die,5
36,/articles/2001/05/31/18-wheeler-american-pro-trucker-4,[],2001-05-31T23:30:00.000Z,18-Wheeler American Pro Trucker,7.8
37,/articles/2001/11/14/18-wheeler-american-pro-trucker-2,[],2001-11-14T08:00:00.000Z,18-Wheeler: American Pro Trucker,5.5
38,/articles/2000/10/16/18-wheeler-american-pro-trucker-import,[],2000-10-16T07:00:00.000Z,18-Wheeler American Pro Trucker (Import),6.7
39,/articles/2002/03/05/18-wheeler-american-pro-trucker-review,['Matt Casamassina'],2002-03-05T08:00:00.000Z,18-Wheeler American Pro Trucker Review,5
40,/articles/2006/03/07/1942,['Levi Buchanan'],2006-03-07T20:32:00.000Z,1942,4.5
