id,review_title,score,phrase,reviewer,reviewed_on,review_date,review_id,review_url,game_title,release_date,platform,genre,features,franchise,developer,publisher,game_id,game_url
0,007: Everything or Nothing,8,great,Craig Harris,,2003-12-05,24e9d21c-a6b6-4c36-8424-fa0118c914c5,/articles/2003/12/05/007-everything-or-nothing,James Bond 007: Everything or Nothing [GBA],2003-11-17,Game Boy Advance,Action,"['Number Of Players', 'Memory Card', 'Multi-cartridge Multiplayer', 'Cartridge Save', 'Console-To-Handheld System Link']",James Bond 007,Griptonite Games,"['Ingram Entertainment', 'Electronic Arts']",c76327ae-74fc-426b-8ae6-95893a0ba47c,/games/james-bond-007-everything-or-nothing-gba
1,007 Legends Review,4.5,bad,Tristan Ogilvie,,2012-10-16,74d8f5db-b833-416c-9750-e89d432952ea,/articles/2012/10/16/007-legends-review,007 Legends,2012-10-16,"['PC', 'PlayStation 3', 'Xbox 360', 'Wii U']",Action,,James Bond 007,Eurocom,Activision,4cfb51c3-83a2-4f72-990e-b520ad8c4448,/games/007-legends
2,007 Legends Wii U Review,4.2,bad,Tristan Ogilvie,,2013-01-14,ec9d4b84-0218-40a3-85d3-5ddbe2676abe,/articles/2013/01/14/007-legends-wii-u-review,007 Legends,2012-10-16,"['PC', 'PlayStation 3', 'Xbox 360', 'Wii U']",Action,,James Bond 007,Eurocom,Activision,4cfb51c3-83a2-4f72-990e-b520ad8c4448,/games/007-legends
3,007 Racing,5,mediocre,Doug Perry,,2000-11-22,b7aadb30-ed04-4c1e-a30c-305ffa83c910,/articles/2000/11/22/007-racing,007 Racing,2000-11-21,PlayStation,Racing,"['Number Of Players', 'Memory Card', 'Vibration', 'DualShock']",James Bond 007,Eutechnyx,"['Electronic Arts', 'Fillpoint']",69a4248a-2822-40fb-90b0-754fe52e85c4,/games/007-racing
4,007: Top Agent Review,4,bad,Levi Buchanan,,2010-01-14,5b730d82-4b6d-465d-9053-85e3fa8f273b,/articles/2010/01/14/007-top-agent-review,007: Top Agent,2009-12-19,iPhone,Shooter,,James Bond 007,Sony Pictures Mobile,Sony Pictures Mobile,b86c7284-a674-402c-bb19-39bc128ad366,/games/007-top-agent
5,0 Day Attack on Earth Review,4,bad,Levi Buchanan,,2010-01-05,a406b615-64a0-4e46-92b9-795f3e8416fe,/articles/2010/01/05/0-day-attack-on-earth-review,0 Day: Attack on Earth,2009-12-23,Xbox 360,Shooter,"['16:9', 'Online Leaderboards', 'Online - Co-Op Number Of Players', 'Online - VS Number Of Players', '720p', 'Downloadable Content', '480p', 'Number Of Players', 'Custom Soundtrack']",,Gulti,Square Enix,182bd1bc-f460-410a-beb7-0bcd60a6a476,/games/0-day-attack-on-earth
6,0D Beat Drop Review,8.5,great,Daemon Hatfield,,2009-11-10,b3d88d88-2eb6-4784-9639-8e140a06490a,/articles/2009/11/10/0d-beat-drop-review,0-D Beat Drop,2009-11-11,Xbox 360,"['Puzzle', 'Action']","['16:9', 'Mic/Headset Voice', 'Online - VS Number Of Players', '720p', 'Personal Avatar', 'Number Of Players', '1080i', '480p', 'Online - Co-Op Number Of Players', 'Online Leaderboards', 'Local - VS # of Players', '1080p', 'Local - Co-Op # of Players', 'Custom Soundtrack', 'Online', 'Downloadable Content']",,Cyclone Zero,ARC System Works,396672a6-2195-47d2-998d-a61c4cfb4376,/games/0-d-beat-drop
7,10000000 Review,7.5,good,Justin Davis,,2012-08-09,daa63860-d74c-49d5-8ccb-0f5017fc18f2,/articles/2012/08/09/10000000-review,10000000,,iPhone,,,,Eighty Eight Games,Eighty Eight Games,b5c197f4-5727-42c6-abb8-ed03ea1f5182,/games/10000000
8,"$100,000 Pyramid",8,great,,,2001-04-12,18722f0b-a68c-4f1b-87b6-e4e790909d27,/articles/2001/04/12/100000-pyramid,"The $100,000 Pyramid",1988-06-01,"['Commodore 64/128', 'PC']",Trivia,"['Number Of Players', 'Local - VS # of Players']",,"['Box Office Software', 'Hypnotix']","['Box Office Software', 'Sierra Attractions']",7c3492ed-cd40-42b4-bc88-75c9def2c0f7,/games/the-100000-pyramid
9,1000: Find 'Em All Review,7,good,Levi Buchanan,,2010-02-12,063f9e68-22cd-4fb6-9aff-e196a3faecf7,/articles/2010/02/12/1000-find-em-all-review,1000: Find 'Em All,2010-02-04,iPhone,Adventure,,,Glu Mobile,Glu Mobile,d46c03e1-26b7-4afc-99a4-e609fb2c6149,/games/1000-find-em-all
10,1000 Words,8,great,Levi Buchanan,,2005-08-23,e980dd58-1cb9-4a7d-9a1f-bed05f7cfc9b,/articles/2005/08/23/1000-words,1000 Words,2005-08-19,Wireless,Puzzle,Number Of Players,,Gameloft,Gameloft,0606d20d-ad11-4270-acd5-e003f2d3b3a8,/games/1000-words
11,1001 BlockBusters Review,7,good,Lucas M. Thomas,,2011-10-14,0b31381c-dde7-4ae8-9998-893cc6aa815f,/articles/2011/10/14/1001-blockbusters-review,1001 BlockBusters,2011-10-13,Nintendo DSi,Action,Number Of Players,,Teyon,Selectsoft Games,8d523760-5fda-44e4-a93b-5484dd3078d7,/games/1001-blockbusters
12,1001 Crystal Mazes Collection Review,7,good,Lucas M. Thomas,,2010-05-06,df9a302f-22fa-49a4-88a8-2f25f7bc5477,/articles/2010/05/06/1001-crystal-mazes-collection-review,1001 Crystal Mazes Collection,2010-05-03,Nintendo DSi,Puzzle,,,Teyon,Teyon,119a30f8-5ace-438f-8117-c23a64625c9b,/games/1001-crystal-mazes-collection
13,1001 Spikes Review,8,great,,,2014-06-08,108ee750-dda2-4caf-83a9-f7fec29d513d,/articles/2014/06/08/1001-spikes-review,1001 Spikes,2014-03-31,"['Nintendo 3DS', 'Wii U', 'PlayStation 4', 'PlayStation Vita', 'PC', 'Xbox One', 'Nintendo Switch']",Platformer,"['Offline Versus Multiplayer', 'Offline Co-Op Multiplayer']",,8bits Fanatics,Nicalis,0a511075-7c2d-4288-afd6-9b33d97652e8,/games/1001-spikes
14,100ft Robot Golf Review,5,mediocre,Ryan McCaffrey,,2016-10-20,1aa77eae-ad5d-48e7-96ac-5a4f89074ef1,/articles/2016/10/20/100ft-robot-golf-review,100ft Robot Golf,2016-10-10,"['PlayStation 4', 'PC']","['Fighting', 'Sports']","['Offline Versus Multiplayer', 'PlayStation VR', 'Online Versus Multiplayer']",,No Goblin,,a51395be-a7f7-4b14-8fe6-b73976c5ba6a,/games/100ft-robot-golf
15,101-in-1 Explosive Megamix Review,2.5,painful,Lucas M. Thomas,,2011-10-14,85a121dd-e849-45ad-97ac-2e1868aefd46,/articles/2011/10/14/101-in-1-explosive-megamix-review,101-in-1 Explosive Megamix,2009-04-23,"['Nintendo DS', 'Wii', 'Nintendo DSi']","['Puzzle', 'Compilation']","['Multi-cartridge Multiplayer', 'Local - VS # of Players', 'Number Of Players']",,Nordcurrent,"['Atlus', 'Nordcurrent']",33cbb0fc-e907-4412-ba07-174f97307374,/games/101-in-1-explosive-megamix
16,101 MiniGolf World Review,7,good,Lucas M. Thomas,,2010-03-17,fbc7570a-59db-4b11-9bb5-c92c3d0a0ce4,/articles/2010/03/17/101-minigolf-world-review,101 Minigolf World,2010-03-15,Nintendo DSi,Sports,Number Of Players,,,Teyon,46884b82-13a2-4079-a829-58002666ff92,/games/101-minigolf-world
17,101 Shark Pets Review,7,good,Lucas M. Thomas,,2010-07-10,6d4fca01-1615-49c6-816f-aecf6135f5ad,/articles/2010/07/10/101-shark-pets-review,101 Shark Pets,2010-07-05,Nintendo DSi,Simulation,Number Of Players,,Teyon,Teyon,39349e45-23f4-4b6f-8ec3-33dd1b17c43b,/games/101-shark-pets
18,102 Dalmatians: Puppies to the Rescue,7,good,David Zdyrko,,2000-12-06,3c341121-1dcc-4340-99ec-18121212294d,/articles/2000/12/06/102-dalmatians-puppies-to-the-rescue-2,102 Dalmatians: Puppies To The Rescue,2000-11-10,"['Game Boy Color', 'Dreamcast', 'PC', 'PlayStation']","['Action', 'Adventure', 'Platformer']","['Number Of Players', 'Memory Card', 'Vibration', 'DualShock']",101 Dalmatians,"['Digital Eclipse Software', 'Silent Software', 'Crystal Dynamics', 'Toys for Bob']","['Activision', 'Eidos Interactive']",0ce3494c-3b9d-4bdf-88fc-e8e152a63934,/games/102-dalmatians-puppies-to-the-rescue
19,102 Dalmatians: Puppies to the Rescue,6,okay,Nix,,2000-12-14,ee4ee7ca-b9c3-4bc0-8bfe-1f7fd051d756,/articles/2000/12/14/102-dalmatians-puppies-to-the-rescue,102 Dalmatians: Puppies To The Rescue,2000-11-10,"['Game Boy Color', 'Dreamcast', 'PC', 'PlayStation']","['Action', 'Adventure', 'Platformer']","['Number Of Players', 'Memory Card', 'Vibration', 'DualShock']",101 Dalmatians,"['Digital Eclipse Software', 'Silent Software', 'Crystal Dynamics', 'Toys for Bob']","['Activision', 'Eidos Interactive']",0ce3494c-3b9d-4bdf-88fc-e8e152a63934,/games/102-dalmatians-puppies-to-the-rescue
20,102 Dalmations: Puppies to the Rescue,7,good,,,2000-12-12,b0b92eb0-8fdc-4679-a97b-f4cd6434b9ad,/articles/2000/12/12/102-dalmations-puppies-to-the-rescue,102 Dalmatians: Puppies To The Rescue,2000-11-10,"['Game Boy Color', 'Dreamcast', 'PC', 'PlayStation']","['Action', 'Adventure', 'Platformer']","['Number Of Players', 'Memory Card', 'Vibration', 'DualShock']",101 Dalmatians,"['Digital Eclipse Software', 'Silent Software', 'Crystal Dynamics', 'Toys for Bob']","['Activision', 'Eidos Interactive']",0ce3494c-3b9d-4bdf-88fc-e8e152a63934,/games/102-dalmatians-puppies-to-the-rescue
21,1080: Avalanche,7.3,good,Matt Casamassina,,2003-12-02,0b0cb086-6729-4719-bfea-6a87a82f6db4,/articles/2003/12/02/1080-avalanche-2,1080° Avalanche,2003-12-01,GameCube,"['Sports', 'Snowboarding']","['Memory Card', 'Dolby Pro Logic II', '480p', 'System Link / LAN']",1080 Snowboarding,Nintendo Software Technology (NST),Nintendo,05e9f6c3-c4c6-4596-b772-9e664df1d31d,/games/1080-avalanche
22,1080° Snowboarding Review,8.6,great,Matt Casamassina,,1998-04-03,0f84909e-0190-449d-aef5-85ed89432514,/articles/1998/04/03/1080a-snowboarding-review,1080° Snowboarding,1998-04-01,"['Nintendo 64', 'Wii', 'Wii U']","['Sports', 'Snowboarding']",Vibration,1080 Snowboarding,Nintendo Entertainment Analysis & Development (EAD),"['Electro Source', 'Nintendo']",1429dc87-eea0-496d-9565-18b80a93e8e0,/games/1080-snowboarding
23,1080 Snowboarding Review,8.5,great,Lucas M. Thomas,,2008-01-29,2a5d2807-3525-45f1-9a06-641b04243142,/articles/2008/01/29/1080-snowboarding-review,1080° Snowboarding,1998-04-01,"['Nintendo 64', 'Wii', 'Wii U']","['Sports', 'Snowboarding']",Vibration,1080 Snowboarding,Nintendo Entertainment Analysis & Development (EAD),"['Electro Source', 'Nintendo']",1429dc87-eea0-496d-9565-18b80a93e8e0,/games/1080-snowboarding
24,10-Pin Bowling,4,bad,Craig Harris,,1999-10-04,598a1659-4baa-4241-a0f0-ddaa6e4a6f2b,/articles/1999/10/04/10-pin-bowling,10-Pin Bowling,1999-09-10,Game Boy Color,"['Sports', 'Bowling']",,,Morning Star Multimedia,Majesco,78f47f2c-9f71-41f7-8915-b50341889838,/games/10-pin-bowling
25,10Six,6.2,okay,,,2000-07-01,4442e968-0a99-4f63-9261-de953a4eec0b,/articles/2000/07/01/10six,10Six,2000-02-28,"['PC', 'Dreamcast']","['Strategy', 'Action']","['Number Of Players', 'Online']",,SegaSoft,SegaSoft,e2fd4444-c103-4c8d-814a-d09a163f7782,/games/10six
26,1112 Episode 01 iPhone Review,3.5,awful,George Roush,,2008-12-13,3567f17b-3ab6-4a67-af22-18078706921e,/articles/2008/12/13/1112-episode-01-iphone-review,1112: Episode 01,2008-12-01,iPhone,Simulation,Number Of Players,,Agharta Studio,Agharta Studio,a8a50411-a103-40f9-ae44-85822a9e99dc,/games/1112-episode-01
27,1-2-Switch Review,6.8,okay,Alanah Pearce,,2017-03-02,f257a931-8653-404c-af5e-c3f0dd7ef441,/articles/2017/03/02/1-2-switch-review,1-2-Switch,2017-03-03,Nintendo Switch,Party,Offline Versus Multiplayer,,Nintendo,Nintendo,11246d13-7ad9-49bf-8a3c-9eeac184a3a8,/games/1-2-switch
28,13 Sentinels: Aegis Rim Review,8,great,Matt Kim,,2020-09-15,2af8f773-d8e9-4ddc-a001-71f98d71ef66,/articles/13-sentinels-aegis-rim-review,13 Sentinels: Aegis RIM,2020-09-22,"['PlayStation 4', 'Nintendo Switch']",RPG,,,Vanillaware,Atlus,c031c4d5-e827-4429-901a-8a2850b607da,/games/13-sentinels-aegis-rim
29,140 Review,8,great,Mitch Dyer,,2013-10-16,52e40fa3-1eb6-4212-a8eb-5b41e2f5f10d,/articles/2013/10/16/140-review,140,2013-10-16,"['PC', 'Macintosh', 'PlayStation 4', 'Wii U', 'Xbox One', 'Nintendo 3DS', 'PlayStation Vita']",Platformer,,,Independent,Independent,52592295-7943-466b-93f2-fc87b866ed7e,/games/140-game
30,1503 A.D. Review,7.3,good,Jeff Haynes,,2003-04-09,e7bf568b-65a9-4016-8e7e-12f1bf8fd292,/articles/2003/04/09/1503-ad-review,1503 A.D. The New World,2003-03-04,"['Macintosh', 'PC', 'Wireless']",Strategy,Number Of Players,,"['Sunflowers', 'elkware, Inc.']",Electronic Arts,a0f711a8-a61d-4971-a30f-71ff93080cc6,/games/1503-ad-the-new-world
31,1602 AD,7.9,good,,,2000-02-10,821cc7a5-6a52-4ed2-ba05-54e86322dc20,/articles/2000/02/10/1602-ad-2,1602 A.D.,1998-09-24,PC,Strategy,"['Number Of Players', 'Online']",,Max Design,"['GT Interactive', 'Infogrames', 'Sunflowers']",a0921125-2588-45a9-af64-2dfc647b2092,/games/1602-ad
32,16 Shot! Shooting Watch Review,5,mediocre,Lucas M. Thomas,,2010-06-22,2ed6460c-c42f-4a91-8d60-643650da8d73,/articles/2010/06/22/16-shot-shooting-watch-review,16 Shot!  Shooting Watch,2010-06-14,Nintendo DSi,Shooter,Number Of Players,,,Hudson Soft,402714e5-cac7-4e40-b00b-2c6420c38fbe,/games/16-shot-shooting-watch
