imagesize,convtime,magtime,supptime,sorttime,edgetime,hysttime,d2htime,hd2time
256, 0.108, 0.033, 0.026, 0.297, 0.021, 0.020, 0.074, 0.147
256, 0.108, 0.033, 0.027, 0.295, 0.023, 0.019, 0.084, 0.157
256, 0.134, 0.033, 0.026, 0.285, 0.023, 0.020, 0.077, 0.144
256, 0.106, 0.033, 0.026, 0.283, 0.023, 0.020, 0.077, 0.142
256, 0.106, 0.033, 0.026, 0.293, 0.023, 0.019, 0.076, 0.144
256, 0.106, 0.032, 0.026, 0.304, 0.022, 0.019, 0.077, 0.151
256, 0.105, 0.032, 0.026, 0.284, 0.021, 0.020, 0.077, 0.143
256, 0.105, 0.032, 0.027, 0.284, 0.022, 0.020, 0.075, 0.142
256, 0.104, 0.033, 0.026, 0.283, 0.021, 0.019, 0.078, 0.151
256, 0.107, 0.033, 0.026, 0.286, 0.022, 0.020, 0.077, 0.147
256, 0.106, 0.033, 0.026, 0.284, 0.021, 0.020, 0.075, 0.143
256, 0.107, 0.033, 0.026, 0.285, 0.021, 0.020, 0.078, 0.144
256, 0.105, 0.033, 0.026, 0.284, 0.022, 0.019, 0.077, 0.143
256, 0.106, 0.033, 0.027, 0.282, 0.021, 0.019, 0.076, 0.152
256, 0.105, 0.032, 0.027, 0.283, 0.022, 0.019, 0.076, 0.144
256, 0.104, 0.032, 0.026, 0.284, 0.022, 0.020, 0.076, 0.143
256, 0.103, 0.032, 0.026, 0.286, 0.022, 0.019, 0.079, 0.144
256, 0.104, 0.032, 0.026, 0.282, 0.027, 0.040, 0.090, 0.142
256, 0.105, 0.033, 0.027, 0.285, 0.021, 0.019, 0.077, 0.143
256, 0.105, 0.032, 0.026, 0.285, 0.023, 0.019, 0.076, 0.143
256, 0.104, 0.032, 0.026, 0.282, 0.022, 0.020, 0.076, 0.152
256, 0.105, 0.032, 0.026, 0.285, 0.021, 0.020, 0.076, 0.155
256, 0.107, 0.032, 0.026, 0.282, 0.022, 0.019, 0.075, 0.145
256, 0.105, 0.033, 0.026, 0.290, 0.022, 0.019, 0.078, 0.142
256, 0.104, 0.032, 0.027, 0.281, 0.021, 0.020, 0.077, 0.144
256, 0.105, 0.032, 0.027, 0.281, 0.021, 0.019, 0.076, 0.145
256, 0.103, 0.032, 0.026, 0.283, 0.023, 0.019, 0.076, 0.143
256, 0.105, 0.033, 0.026, 0.283, 0.023, 0.019, 0.085, 0.144
256, 0.104, 0.033, 0.026, 0.280, 0.022, 0.020, 0.075, 0.145
256, 0.104, 0.033, 0.026, 0.289, 0.022, 0.019, 0.077, 0.143
512, 0.284, 0.093, 0.067, 1.086, 0.060, 0.063, 0.329, 0.423
512, 0.284, 0.094, 0.067, 1.086, 0.060, 0.066, 0.330, 0.423
512, 0.286, 0.094, 0.067, 1.072, 0.060, 0.068, 0.338, 0.419
512, 0.285, 0.093, 0.067, 1.083, 0.060, 0.066, 0.330, 0.425
512, 0.286, 0.095, 0.068, 1.156, 0.060, 0.065, 0.353, 0.425
512, 0.284, 0.093, 0.067, 1.078, 0.060, 0.063, 0.335, 0.416
512, 0.286, 0.094, 0.067, 1.088, 0.060, 0.065, 0.342, 0.415
512, 0.287, 0.093, 0.067, 1.090, 0.060, 0.064, 0.325, 0.415
512, 0.283, 0.094, 0.067, 1.096, 0.060, 0.066, 0.329, 0.417
512, 0.284, 0.094, 0.067, 1.096, 0.060, 0.067, 0.340, 0.431
512, 0.285, 0.094, 0.066, 1.090, 0.060, 0.066, 0.330, 0.418
512, 0.286, 0.094, 0.067, 1.081, 0.060, 0.064, 0.329, 0.417
512, 0.285, 0.094, 0.066, 1.106, 0.060, 0.066, 0.331, 0.427
512, 0.283, 0.094, 0.067, 1.105, 0.060, 0.065, 0.326, 0.416
512, 0.296, 0.095, 0.068, 1.183, 0.061, 0.067, 0.367, 0.444
512, 0.285, 0.094, 0.067, 1.084, 0.060, 0.065, 0.342, 0.427
512, 0.286, 0.095, 0.067, 1.072, 0.060, 0.063, 0.334, 0.416
512, 0.289, 0.094, 0.067, 1.169, 0.061, 0.066, 0.349, 0.465
512, 0.285, 0.094, 0.067, 1.076, 0.060, 0.069, 0.329, 0.416
512, 0.285, 0.094, 0.067, 1.082, 0.060, 0.066, 0.339, 0.423
512, 0.296, 0.094, 0.067, 1.070, 0.060, 0.066, 0.331, 0.419
512, 0.286, 0.095, 0.068, 1.102, 0.060, 0.063, 0.344, 0.433
512, 0.286, 0.103, 0.068, 1.079, 0.061, 0.063, 0.339, 0.433
512, 0.281, 0.093, 0.066, 0.995, 0.060, 0.066, 0.283, 0.365
512, 0.286, 0.093, 0.067, 1.084, 0.060, 0.064, 0.328, 0.417
512, 0.288, 0.095, 0.068, 1.146, 0.061, 0.065, 0.352, 0.443
512, 0.283, 0.093, 0.067, 1.084, 0.061, 0.067, 0.329, 0.416
512, 0.284, 0.094, 0.067, 1.076, 0.059, 0.066, 0.328, 0.417
512, 0.285, 0.094, 0.068, 1.078, 0.060, 0.067, 0.332, 0.418
512, 0.283, 0.094, 0.068, 1.116, 0.060, 0.063, 0.356, 0.425
1024, 0.985, 0.332, 0.217, 1.544, 0.220, 0.341, 1.227, 1.340
1024, 0.989, 0.333, 0.217, 1.550, 0.219, 0.331, 1.216, 1.320
1024, 0.987, 0.332, 0.216, 1.571, 0.220, 0.335, 1.232, 1.328
1024, 0.987, 0.331, 0.216, 1.555, 0.221, 0.335, 1.235, 1.332
1024, 0.989, 0.331, 0.217, 1.533, 0.220, 0.334, 1.215, 1.334
1024, 0.990, 0.335, 0.216, 1.557, 0.219, 0.330, 1.235, 1.334
1024, 0.989, 0.333, 0.217, 1.542, 0.220, 0.333, 1.220, 1.338
1024, 0.986, 0.332, 0.218, 1.559, 0.219, 0.336, 1.204, 1.339
1024, 0.990, 0.332, 0.215, 1.539, 0.219, 0.335, 1.224, 1.320
1024, 0.986, 0.332, 0.216, 1.547, 0.220, 0.331, 1.218, 1.324
1024, 0.988, 0.332, 0.217, 1.565, 0.221, 0.333, 1.224, 1.318
1024, 0.989, 0.333, 0.216, 1.564, 0.221, 0.339, 1.207, 1.327
1024, 0.989, 0.332, 0.217, 1.551, 0.221, 0.334, 1.221, 1.329
1024, 0.988, 0.332, 0.217, 1.542, 0.220, 0.336, 1.218, 1.331
1024, 0.988, 0.333, 0.216, 1.572, 0.220, 0.338, 1.253, 1.330
1024, 0.989, 0.333, 0.216, 1.572, 0.221, 0.330, 1.248, 1.340
1024, 0.986, 0.332, 0.217, 1.529, 0.220, 0.337, 1.233, 1.333
1024, 0.988, 0.331, 0.217, 1.545, 0.220, 0.334, 1.232, 1.321
1024, 0.990, 0.333, 0.216, 1.538, 0.219, 0.332, 1.221, 1.335
1024, 0.986, 0.332, 0.217, 1.559, 0.220, 0.335, 1.219, 1.327
1024, 0.987, 0.340, 0.216, 1.563, 0.220, 0.337, 1.215, 1.320
1024, 0.995, 0.333, 0.218, 1.642, 0.221, 0.337, 1.294, 1.445
1024, 0.992, 0.332, 0.216, 1.543, 0.220, 0.333, 1.218, 1.326
1024, 0.986, 0.333, 0.216, 1.545, 0.220, 0.334, 1.224, 1.316
1024, 0.987, 0.332, 0.217, 1.522, 0.220, 0.335, 1.230, 1.329
1024, 0.992, 0.331, 0.217, 1.556, 0.221, 0.330, 1.217, 1.324
1024, 0.994, 0.333, 0.218, 1.616, 0.221, 0.332, 1.293, 1.401
1024, 0.990, 0.332, 0.216, 1.547, 0.221, 0.336, 1.218, 1.331
1024, 0.987, 0.331, 0.217, 1.543, 0.220, 0.332, 1.225, 1.329
1024, 0.988, 0.332, 0.218, 1.564, 0.220, 0.334, 1.222, 1.331
2048, 3.777, 1.267, 0.743, 3.083, 0.847, 0.625, 4.462, 4.943
2048, 3.777, 1.270, 0.741, 3.091, 0.845, 0.625, 4.520, 4.933
2048, 3.773, 1.265, 0.743, 3.101, 0.845, 0.627, 4.366, 4.912
2048, 3.776, 1.269, 0.743, 3.186, 0.847, 0.626, 5.122, 5.251
2048, 3.782, 1.268, 0.743, 3.102, 0.847, 0.630, 4.435, 4.927
2048, 3.777, 1.266, 0.742, 3.103, 0.847, 0.626, 4.513, 4.924
2048, 3.780, 1.270, 0.745, 3.089, 0.846, 0.627, 4.365, 4.946
2048, 3.783, 1.267, 0.741, 3.100, 0.846, 0.626, 4.340, 4.917
2048, 3.781, 1.271, 0.744, 3.184, 0.848, 0.628, 4.473, 5.396
2048, 3.776, 1.268, 0.742, 3.112, 0.845, 0.625, 4.519, 4.917
2048, 3.780, 1.265, 0.743, 3.201, 0.846, 0.626, 4.571, 5.369
2048, 3.772, 1.267, 0.742, 3.082, 0.845, 0.626, 4.355, 4.918
2048, 3.780, 1.264, 0.742, 3.110, 0.844, 0.624, 4.343, 4.918
2048, 3.775, 1.268, 0.742, 3.093, 0.845, 0.627, 4.416, 4.965
2048, 3.774, 1.265, 0.742, 3.116, 0.846, 0.626, 4.354, 4.933
2048, 3.778, 1.268, 0.744, 2.975, 0.847, 0.628, 3.874, 4.273
2048, 3.787, 1.271, 0.745, 3.119, 0.848, 0.627, 4.567, 5.314
2048, 3.783, 1.269, 0.745, 3.118, 0.849, 0.627, 4.330, 4.921
2048, 3.776, 1.268, 0.742, 3.097, 0.847, 0.626, 4.436, 4.907
2048, 3.778, 1.266, 0.743, 3.119, 0.848, 0.627, 4.390, 4.938
2048, 3.781, 1.268, 0.744, 3.083, 0.848, 0.628, 4.343, 4.903
2048, 3.778, 1.269, 0.742, 3.104, 0.845, 0.630, 4.529, 5.147
2048, 3.776, 1.267, 0.742, 3.103, 0.847, 0.626, 4.345, 4.963
2048, 3.780, 1.269, 0.743, 3.113, 0.846, 0.628, 4.372, 4.960
2048, 3.781, 1.270, 0.744, 3.092, 0.847, 0.627, 4.513, 4.916
2048, 3.781, 1.268, 0.744, 3.087, 0.847, 0.628, 4.683, 4.932
2048, 3.770, 1.266, 0.743, 3.100, 0.846, 0.632, 4.508, 4.926
2048, 3.778, 1.269, 0.743, 3.108, 0.848, 0.628, 4.451, 5.150
2048, 3.783, 1.269, 0.742, 3.115, 0.846, 0.627, 4.411, 4.931
2048, 3.779, 1.267, 0.741, 3.105, 0.847, 0.629, 4.301, 4.928
4096, 15.007, 5.095, 3.228, 9.823, 3.444, 2.474, 16.736, 18.975
