size, htod, dtoh
1K, 0.03, 0.02
1K, 0.03, 0.02
1K, 0.03, 0.02
1K, 0.03, 0.02
1K, 0.03, 0.02
1K, 0.03, 0.03
1K, 0.03, 0.02
1K, 0.03, 0.02
1K, 0.03, 0.02
1K, 0.03, 0.02
1K, 0.03, 0.02
1K, 0.03, 0.02
1K, 0.03, 0.03
1K, 0.03, 0.02
1K, 0.03, 0.03
1K, 0.03, 0.02
1K, 0.03, 0.02
1K, 0.03, 0.02
1K, 0.03, 0.02
1K, 0.03, 0.02
1K, 0.03, 0.02
1K, 0.03, 0.02
1K, 0.03, 0.02
1K, 0.03, 0.02
1K, 0.03, 0.02
1K, 0.03, 0.02
1K, 0.03, 0.02
1K, 0.03, 0.02
1K, 0.03, 0.02
1K, 0.03, 0.02
2K, 0.03, 0.03
2K, 0.03, 0.03
2K, 0.03, 0.03
2K, 0.04, 0.03
2K, 0.03, 0.03
2K, 0.03, 0.03
2K, 0.03, 0.04
2K, 0.03, 0.03
2K, 0.03, 0.03
2K, 0.03, 0.03
2K, 0.03, 0.03
2K, 0.03, 0.03
2K, 0.03, 0.03
2K, 0.03, 0.03
2K, 0.03, 0.03
2K, 0.03, 0.04
2K, 0.03, 0.03
2K, 0.03, 0.03
2K, 0.03, 0.03
2K, 0.03, 0.03
2K, 0.03, 0.03
2K, 0.03, 0.03
2K, 0.03, 0.03
2K, 0.04, 0.03
2K, 0.03, 0.03
2K, 0.03, 0.03
2K, 0.03, 0.03
2K, 0.03, 0.03
2K, 0.03, 0.03
2K, 0.03, 0.03
4K, 0.04, 0.04
4K, 0.04, 0.04
4K, 0.04, 0.04
4K, 0.04, 0.04
4K, 0.04, 0.04
4K, 0.04, 0.04
4K, 0.05, 0.04
4K, 0.04, 0.04
4K, 0.04, 0.04
4K, 0.04, 0.04
4K, 0.04, 0.04
4K, 0.04, 0.04
4K, 0.04, 0.04
4K, 0.04, 0.04
4K, 0.04, 0.04
4K, 0.04, 0.04
4K, 0.04, 0.04
4K, 0.04, 0.05
4K, 0.04, 0.04
4K, 0.04, 0.04
4K, 0.04, 0.04
4K, 0.04, 0.04
4K, 0.04, 0.04
4K, 0.04, 0.04
4K, 0.04, 0.05
4K, 0.04, 0.04
4K, 0.04, 0.04
4K, 0.04, 0.04
4K, 0.04, 0.04
4K, 0.04, 0.04
8K, 0.05, 0.06
8K, 0.05, 0.05
8K, 0.05, 0.06
8K, 0.05, 0.06
8K, 0.05, 0.06
8K, 0.05, 0.05
8K, 0.05, 0.06
8K, 0.05, 0.05
8K, 0.05, 0.06
8K, 0.05, 0.05
8K, 0.05, 0.06
8K, 0.05, 0.05
8K, 0.05, 0.05
8K, 0.05, 0.05
8K, 0.05, 0.06
8K, 0.05, 0.06
8K, 0.05, 0.05
8K, 0.06, 0.06
8K, 0.05, 0.05
8K, 0.05, 0.06
8K, 0.05, 0.05
8K, 0.05, 0.06
8K, 0.05, 0.05
8K, 0.05, 0.06
8K, 0.05, 0.06
8K, 0.06, 0.06
8K, 0.05, 0.06
8K, 0.05, 0.06
8K, 0.06, 0.06
8K, 0.05, 0.05
16K, 0.07, 0.09
16K, 0.08, 0.10
16K, 0.07, 0.09
16K, 0.07, 0.09
16K, 0.07, 0.09
16K, 0.07, 0.09
16K, 0.07, 0.09
16K, 0.07, 0.09
16K, 0.07, 0.10
16K, 0.07, 0.09
16K, 0.07, 0.09
16K, 0.07, 0.09
